"","GEOID","X","Y"
"530",530,-43.4178527064563,-23.0033505297637
"531",531,-43.4129755336355,-23.0033017208289
"532",532,-43.4080983741293,-23.003252761802
"533",533,-43.4032212279785,-23.0032036526848
"534",534,-43.398344095224,-23.0031543934787
"535",535,-43.3934669759065,-23.0031049841857
"536",536,-43.3885898700671,-23.0030554248072
"537",537,-43.3837127777464,-23.003005715345
"538",538,-43.3788356989855,-23.0029558558009
"539",539,-43.373958633825,-23.0029058461764
"540",540,-43.369081582306,-23.0028556864733
"541",541,-43.3642045444692,-23.0028053766933
"542",542,-43.3593275203555,-23.0027549168381
"543",543,-43.3544505100058,-23.0027043069094
"544",544,-43.3495735134608,-23.002653546909
"545",545,-43.3446965307615,-23.0026026368385
"546",546,-43.3398195619488,-23.0025515766997
"547",547,-43.3349426070633,-23.0025003664943
"548",548,-43.3300656661461,-23.0024490062241
"549",549,-43.3251887392379,-23.0023974958909
"550",550,-43.3203118263796,-23.0023458354963
"551",551,-43.3154349276121,-23.0022940250421
"552",552,-43.3105580429761,-23.0022420645301
"553",553,-43.3056811725126,-23.002189953962
"554",554,-43.3008043162623,-23.0021376933397
"555",555,-43.2959274742662,-23.0020852826648
"556",556,-43.291050646565,-23.0020327219392
"557",557,-43.2861738331997,-23.0019800111647
"558",558,-43.281297034211,-23.0019271503431
"559",559,-43.2764202496398,-23.0018741394761
"560",560,-43.6495718909558,-23.0015855325403
"561",561,-43.6398166668661,-23.0015020426797
"562",562,-43.6349390719196,-23.0014600725456
"563",563,-43.6300614884263,-23.0014179522774
"564",564,-43.6251839164273,-23.0013756818767
"565",565,-43.6203063559633,-23.0013332613448
"566",566,-43.6154288070754,-23.0012906906832
"567",567,-43.6105512698043,-23.0012479698934
"568",568,-43.6056737441909,-23.0012050989768
"569",569,-43.6007962302762,-23.0011620779348
"570",570,-43.5959187281009,-23.0011189067689
"571",571,-43.591041237706,-23.0010755854807
"572",572,-43.5861637591324,-23.0010321140714
"573",573,-43.5812862924208,-23.0009884925428
"574",574,-43.5764088376123,-23.0009447208961
"575",575,-43.5715313947477,-23.000900799133
"576",576,-43.5666539638677,-23.0008567272548
"577",577,-43.5617765450135,-23.0008125052632
"578",578,-43.5568991382257,-23.0007681331595
"579",579,-43.5520217435452,-23.0007236109454
"580",580,-43.547144361013,-23.0006789386223
"581",581,-43.5422669906699,-23.0006341161917
"582",582,-43.5373896325568,-23.0005891436552
"583",583,-43.5325122867146,-23.0005440210143
"584",584,-43.527634953184,-23.0004987482706
"585",585,-43.5227576320061,-23.0004533254255
"586",586,-43.5178803232216,-23.0004077524806
"587",587,-43.5130030268714,-23.0003620294374
"588",588,-43.5081257429964,-23.0003161562976
"589",589,-43.5032484716375,-23.0002701330627
"590",590,-43.4983712128355,-23.0002239597342
"591",591,-43.4934939666313,-23.0001776363137
"592",592,-43.4886167330657,-23.0001311628028
"593",593,-43.4837395121797,-23.0000845392031
"594",594,-43.478862304014,-23.0000377655161
"595",595,-43.4739851086096,-22.9999908417434
"596",596,-43.4691079260073,-22.9999437678867
"597",597,-43.464230756248,-22.9998965439475
"598",598,-43.4593535993724,-22.9998491699275
"599",599,-43.4544764554216,-22.9998016458282
"600",600,-43.4495993244363,-22.9997539716512
"601",601,-43.4447222064575,-22.9997061473983
"602",602,-43.4398451015259,-22.999658173071
"603",603,-43.4349680096824,-22.9996100486709
"604",604,-43.4300909309679,-22.9995617741997
"605",605,-43.4252138654232,-22.999513349659
"606",606,-43.4203368130893,-22.9994647750504
"607",607,-43.4154597740069,-22.9994160503757
"608",608,-43.4105827482168,-22.9993671756365
"609",609,-43.4057057357601,-22.9993181508343
"610",610,-43.4008287366774,-22.999268975971
"611",611,-43.3959517510097,-22.9992196510482
